71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 1
37 21 21 42 42  = 11
123 123 123 123 123 123 123 123 123 123 123 123 123 123 123  = 1
44  = 43
215 215 215 215 215 215 215 215 215 215 215 215 215 215  = 94
219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115  = 12
154 123  = 25
244 244 0 24 25 244 24 25 42 21 24 25 42 21 21 0 24 25 42 21 21 0 24 25 42  = 1
37 21 21 24 25 42  = 44
226 226 226 226 226  = 91
219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115  = 4
20 54  = 71
86  = 48
244 24 25  = 118
73 73 73 73 73 73  = 6
105 105 105 105 105 105 105 105 105 105 105 105 105 105 121  = 9
244 24 25 21 25 244 25 244 24 25 21 25 244 25 37 21 24 25 21 25 21 25 21 42 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42  = 1
38  = 30
244 24 25 244 25 244 25  = 26
244 0 24 25 42 21 24 25 21  = 1
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 48
244 24 25 21 25 244 25 244 24 25 21 25 244 25 244 25 244 24 25 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42  = 1
154 123 123  = 26
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 26
271 271  = 138
24 25 21  = 39
71 71 71 71 71  = 62
71 71 71 71 71 71 71 71 71 71  = 31
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 2
71 71 71 71 71 71 71 71 71 71 71 71  = 26
24 25 42 244 24 25 244 24 25 42 24 25 42 24 25 42 24 25 42 24 25 42 24 25 42 244 0 24 25 42 244 24 25 42 24 25 42 24 25 42  = 1
154 123 123 123 123 123  = 22
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 11
105 105 105 105 105 105 105 105 105 105 105 105 121  = 6
121 121 121  = 1
71 71 71 71 71 71 71  = 38
121 114 115 121 114 115 121 114 115 121 114 115 121 114 115 121 114 115 121 114 115 121 114 115 121 114 115 121 114 115 121 114 115 121 114 115 121 114 115 121 114 115  = 2
215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215  = 4
219 150 121 114 115 219 150 121 114 115  = 29
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 65
21 24 25 244 25 244 25  = 27
